accX,accY,accZ,Behavior
0.0519,-0.1876,0.9534,s
0.0538,-0.1876,0.9491,s
0.035,-0.1913,0.9416,s
0.0438,-0.2032,0.9534,s
0.0338,-0.2032,0.9534,s
0.0469,-0.1994,0.9534,s
0.0469,-0.1719,0.9547,s
0.0469,-0.1719,0.9691,s
0.0625,-0.1719,0.9378,s
0.0625,-0.1719,0.9691,s
0.0625,-0.1876,0.9378,s
0.0625,-0.2032,0.9534,s
0.0469,-0.1876,0.9534,s
0.0469,-0.1563,0.9691,s
0.0469,-0.1876,0.9534,s
0.0225,0.0888,0.9759,l
0.0156,0.1013,0.9691,l
0.0306,0.0788,0.9766,l
0.0331,0.0694,0.9778,l
0.0156,0.0844,0.9753,l
0.01,0.1107,0.9847,l
0,0.1257,0.9897,l
0.0044,0.0938,1.0003,l
0.0156,0.105,0.9966,l
0.0094,0.1344,0.9847,l
-0.0056,0.1244,0.9797,l
0.0469,0.1938,0.9553,l
0.0469,0.125,0.9716,l
0.0469,0.125,1.0003,l
0.0313,0.1563,0.9847,l
0.0156,0.1563,0.9534,l
0.0625,0.1876,0.9847,l
0.0313,0.1876,0.9534,l
0.0625,0.1719,0.9847,l
0.0625,0.2032,1.016,l
0.0313,-0.0156,0.9691,t
-0.0313,-0.0469,0.9691,t
-0.0625,-0.0156,0.9534,t
-0.1094,0.0469,0.9691,t
-0.0313,0.0782,1.0003,t
1.2035,2.2976,2.2038,t
-1.9225,0.4533,0.5627,t
0.7034,-0.4533,0.6252,t
-1.5474,0.9847,-1.1566,t
0.0782,-0.7034,0.2657,t
0.6408,-0.0313,1.016,t
-0.4533,0.5314,0.8753,t
0.3439,-0.4064,0.1407,t
0.6096,-0.0782,0.6877,t
0.2813,0.0782,0.6252,t
0.422,-0.6096,1.0628,t
-0.1563,0.2813,0.7971,t
0.0469,0.4376,0.8753,t
0.3595,0,1.0003,t
0.2188,-0.1407,1.0316,t
-0.1094,-0.0313,0.9691,s
-0.125,0,0.9847,s
-0.125,-0.0313,1.0003,s
-0.125,-0.0313,0.9691,s
-0.125,-0.0156,0.9847,s
-0.125,-0.0156,0.9691,s
-0.1094,0,0.9847,s
-0.1407,-0.0313,0.9847,s
-0.125,-0.0156,0.9847,s
-0.125,-0.0156,0.9691,s
-0.125,-0.0156,0.9847,s
-0.1094,-0.0156,1.0003,s
-0.1094,-0.0313,0.9847,s
-0.1407,-0.0156,1.0003,s
-0.125,-0.0156,0.9847,s
-0.125,-0.0156,0.9847,s
-0.125,-0.0156,0.9703,s
-0.125,-0.0156,0.9691,s
-0.1382,-0.0156,0.9953,s
-0.1282,-0.0156,0.9753,s
-0.0938,0.2501,0.9534,l
0.0313,0.1719,1.0003,l
-0.1876,0.3282,0.9378,l
-0.0782,0.125,0.9222,l
-0.0625,0.2188,0.9691,l
-0.2188,0.297,1.0472,l
-0.4064,0.5627,1.0941,l
0.0782,0.0156,0.9847,l
-0.0782,0.0782,0.8909,l
-0.0469,0.0156,0.8909,l
0.125,-0.125,1.0003,l
0.0782,0,1.0316,l
-0.0782,0.1563,1.0628,l
-0.0313,0.1407,0.9691,l
0,0.0625,1.0628,l
0.0156,-0.0156,1.0003,l
0,-0.0313,0.9691,l
0,-0.0313,1.0003,l
0.0469,-0.1876,1.0316,l
-0.0131,0.0225,1.0166,l
-0.1876,0.4064,0.8753,t
-0.1876,0.4064,0.8753,t
-0.1563,0.4064,0.8909,t
-0.1719,0.4064,0.8753,t
-0.1094,0.4376,0.9691,t
0,0.1563,1.141,t
0.422,0.7971,1.2191,t
-0.3732,2.4477,0.9941,t
-0.0325,-1.0928,0.9416,t
0.2201,0.1063,0.649,t
-0.0256,0.2338,0.9772,t
-0.1032,0.3314,0.9722,t
-0.0025,0.11,1.2029,t
-0.0475,0.3464,1.0228,t
0.0175,0.1819,0.7415,t
0.0125,0.237,0.7665,t
0.0031,0.5314,0.819,t
-0.0544,0.5952,0.8215,t
-0.1013,0.5308,0.8284,t
-0.1088,0.4933,0.9034,t
-0.125,-0.0156,0.9847,s
-0.125,0,0.9691,s
-0.1407,-0.0156,0.9691,s
-0.125,-0.0313,0.9691,s
-0.125,-0.0313,0.9847,s
-0.1407,-0.0156,0.9847,s
-0.1407,-0.0156,1.0003,s
-0.125,-0.0313,0.9847,s
-0.1407,-0.0156,0.9691,s
-0.125,-0.0313,0.9534,s
-0.125,-0.0156,0.9691,s
-0.125,-0.0156,0.9691,s
-0.125,0,0.9691,s
-0.125,-0.0156,0.9691,s
-0.125,-0.0156,0.9847,s
-0.14,-0.0156,0.9847,s
-0.1407,-0.0156,0.9703,s
-0.1269,-0.0156,0.9691,s
-0.1119,-0.0156,0.9822,s
-0.1219,-0.0156,0.9847,s
0.1407,-0.5002,0.7815,l
0.125,-0.4845,0.7659,l
0.125,-0.5158,0.8128,l
0.1407,-0.5314,0.8128,l
0.1094,-0.4845,0.7815,l
0.1394,-0.5145,0.8115,l
0.1694,-0.4295,0.7984,l
0.1307,-0.4633,0.8109,l
0.125,-0.5083,0.7996,l
0.125,-0.4783,0.8221,l
0.125,-0.4808,0.8046,l
0.1475,-0.4958,0.7971,l
0.1457,-0.5002,0.7971,l
0.1507,-0.4802,0.8271,l
0.1469,-0.497,0.8065,l
0.1494,-0.4808,0.7815,l
0.1482,-0.4614,0.7896,l
0.1557,-0.4614,0.7971,l
0.1719,-0.467,0.7971,l
0.1782,-0.4845,0.8034,l
0.2032,-0.5627,1.4067,t
-0.1563,0.2813,0.5627,t
-1.1723,0.9378,0.7971,t
0.8128,-0.6565,0.844,t
0.5939,0.2813,1.6412,t
-0.2501,0.0313,-0.0782,t
-1.2554,0.5864,1.0922,t
-0.4633,0.0488,0.9684,t
-0.487,0.3576,0.6783,t
-0.08,0.2751,1.0872,t
0.3751,0.0625,1.0972,t
0.1482,6.0738,-0.7152,t
-0.392,1.8087,0.3051,t
-0.669,-0.0731,0.8478,t
-0.5589,0.2219,0.7327,t
-0.3657,0.3063,0.8003,t
-0.2357,0.3439,0.9015,t
0.0807,0.4739,0.9384,t
0.0581,0.3314,0.9384,t
-0.2482,0.0606,0.9497,t
-0.2657,0.3126,0.8753,s
-0.2813,0.3126,0.8909,s
-0.2501,0.297,0.9065,s
-0.2501,0.3126,0.9065,s
-0.2501,0.3126,0.8909,s
-0.2657,0.3126,0.9065,s
-0.2657,0.297,0.9222,s
-0.2501,0.3126,0.9065,s
-0.2657,0.3126,0.8909,s
-0.2507,0.3126,0.9059,s
-0.2645,0.327,0.9065,s
-0.252,0.3145,0.9065,s
-0.2632,0.3126,0.9065,s
-0.2657,0.3126,0.894,s
-0.2776,0.3126,0.9028,s
-0.2701,0.3013,0.9065,s
-0.2551,0.297,0.9065,s
-0.2501,0.307,0.8965,s
-0.2595,0.3032,0.8909,s
-0.2657,0.3057,0.9084,s
0.2345,-0.5002,0.7346,l
0.2501,-0.5002,0.7659,l
0.2501,-0.5158,0.7502,l
0.2501,-0.4845,0.7815,l
0.2657,-0.422,0.7502,l
0.2657,-0.4689,0.7659,l
0.2345,-0.4376,0.7971,l
0.2188,-0.4689,0.8128,l
0.1876,-0.4845,0.8284,l
0.2032,-0.4845,0.7971,l
0.2032,-0.3908,0.7815,l
0.2188,-0.4064,0.844,l
0.1876,-0.4533,0.8128,l
0.1876,-0.3908,0.8128,l
0.1876,-0.4064,0.8128,l
0.1719,-0.4376,0.8284,l
0.1719,-0.4376,0.8284,l
0.125,-0.422,0.8128,l
0.125,-0.4689,0.8284,l
0.125,-0.4376,0.844,l
-0.0469,-0.2501,0.9378,t
-0.0625,-0.2501,0.9222,t
-0.0782,-0.2501,0.9222,t
-0.0782,-0.2345,0.9222,t
-0.0625,-0.2501,0.9222,t
-0.0782,-0.2501,0.9222,t
0.0938,-0.4533,1.0003,t
0.0625,0.3908,1.3286,t
0.1563,1.0472,1.2035,t
0.8597,-0.0313,1.0785,t
-0.1719,-1.016,0.1407,t
-0.0625,-0.844,-0.3439,t
-0.5002,-0.9378,0.6096,t
0.4064,-0.0313,1.1097,t
-0.1563,-0.125,0.6408,t
-0.0782,-0.3126,0.8909,t
0.0156,-0.1407,0.9378,t
0,-0.2188,0.9065,t
0.0156,-0.1876,0.9691,t
0.0006,-0.2326,0.9541,t
-0.2657,0.297,0.9065,s
-0.2501,0.3282,0.8909,s
-0.2657,0.3126,0.8909,s
-0.2657,0.3126,0.9065,s
-0.2501,0.3126,0.9222,s
-0.2501,0.3126,0.9072,s
-0.2788,0.3126,0.8922,s
-0.2676,0.2988,0.9047,s
-0.2657,0.3101,0.9065,s
-0.2657,0.3126,0.9065,s
-0.2657,0.3126,0.9184,s
-0.2545,0.3013,0.9109,s
-0.2501,0.297,0.9065,s
-0.2501,0.307,0.9065,s
-0.2501,0.3032,0.9065,s
-0.2676,0.3145,0.9153,s
-0.2732,0.3201,0.914,s
-0.2732,0.3126,0.9065,s
-0.2676,0.3126,0.9065,s
-0.2563,0.3126,0.9065,s
0.1094,0.1719,0.9378,l
0.1407,0.125,0.9847,l
0.0938,0.0782,0.9534,l
0.125,0.1094,0.9847,l
0.1094,0.0782,1.0316,l
0.125,0.0625,0.9534,l
0.095,0.0775,0.9834,l
0.0938,0.1213,0.9847,l
0.1075,0.0975,0.9847,l
0.07,0.0675,0.9847,l
0.075,0.1125,0.9972,l
0.09,0.1132,0.9766,l
0.0825,0.0982,0.9916,l
0.0994,0.115,1.0003,l
0.0994,0.125,0.9703,l
0.0938,0.125,0.9816,l
0.0938,0.1075,0.9741,l
0.1019,0.11,0.9778,l
0.1244,0.11,0.9853,l
0.1338,0.1007,0.9759,l
0.1407,0.0938,0.9847,t
0.0469,0.0625,0.9378,t
0.0156,0.1563,0.9378,t
0.0313,0.2032,0.9378,t
0.0313,0.2188,0.9534,t
0.0782,0.1563,1.3129,t
0.5314,1.2191,0.8597,t
1.5474,2.1413,2.282,t
-0.7502,-0.0156,0.125,t
-0.3126,-0.4689,1.1254,t
-0.3439,-0.0625,0.5783,t
-0.4376,0.3595,0.2032,t
-0.1563,0.719,0.6565,t
-0.2188,-0.0313,1.5786,t
0.2813,0.5471,0.7659,t
0,0.2813,0.9065,t
0.0313,0.3282,0.9691,t
0.0313,0.297,0.9378,t
0.0156,0.3126,0.9534,t
0.0156,0.2976,0.9534,t
0.0782,-0.2813,0.9378,s
0.0938,-0.2657,0.9222,s
0.0625,-0.2657,0.9378,s
0.0782,-0.2657,0.9222,s
0.0782,-0.2813,0.9378,s
0.0938,-0.2813,0.9222,s
0.0782,-0.2813,0.9378,s
0.0938,-0.2657,0.9222,s
0.0782,-0.2813,0.9222,s
0.0782,-0.297,0.9222,s
0.0938,-0.2657,0.9222,s
0.0782,-0.2813,0.9222,s
0.0625,-0.2657,0.9378,s
0.0625,-0.2657,0.9222,s
0.0782,-0.2657,0.9378,s
0.0938,-0.2657,0.9534,s
0.0782,-0.2813,0.9222,s
0.0938,-0.2501,0.9222,s
0.0782,-0.2657,0.9378,s
0.0782,-0.2657,0.9378,s
0.2588,0.0069,0.9378,l
0.2576,-0.0163,0.9378,l
0.2501,-0.0238,0.9453,l
0.2432,-0.0156,0.9534,l
0.2407,-0.0156,0.9472,l
0.2501,-0.0156,0.9434,l
0.2501,-0.0006,0.9484,l
0.2457,0.0225,0.9378,l
0.242,0.0038,0.9378,l
0.2626,0.0156,0.9409,l
0.2501,0.0081,0.9534,l
0.2501,-0.0294,0.9553,l
0.2476,-0.0169,0.9678,l
0.2188,-0.0313,0.9534,l
0.2345,0,0.9378,l
0.2501,0,0.9534,l
0.2345,0.0156,0.9378,l
0.2188,-0.0156,0.9691,l
0.2501,0.0156,0.9534,l
