accX,accY,accZ,behavior
0.0469,-0.2345,0.9534,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9691,s
0.0469,-0.2501,0.9534,s
0.0313,-0.2501,0.9378,s
0.0625,-0.2345,0.9534,s
0.0782,-0.2501,0.9378,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2345,0.9222,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9534,s
0.0782,-0.2345,0.9378,s
0.0782,-0.2188,0.9378,s
0.0469,-0.2657,0.9378,s
0.0782,-0.2345,0.9222,s
0.0469,-0.2345,0.9534,s
0.0469,-0.2657,0.9378,s
0.0625,-0.2345,0.9534,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0469,-0.2501,0.9534,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0775,-0.2501,0.9228,s
0.0494,-0.2357,0.9509,s
0.0469,-0.2482,0.9397,s
0.0731,-0.2632,0.9247,s
0.0531,-0.2532,0.9472,s
0.0588,-0.262,0.9297,s
0.0513,-0.2657,0.9334,s
0.0575,-0.2445,0.9378,s
0.0525,-0.2445,0.9378,s
0.0563,-0.2407,0.9284,s
0.0625,-0.2345,0.9397,s
0.0544,-0.2426,0.9453,s
0.0544,-0.2426,0.9453,s
0.0556,-0.2345,0.9397,s
0.0469,-0.2345,0.9222,s
0.0638,-0.2401,0.9278,s
0.0838,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0588,-0.2463,0.9416,s
0.0469,-0.2345,0.9534,s
0.0494,-0.2395,0.9534,s
0.0625,-0.2638,0.9516,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9691,s
0.0469,-0.2345,0.9222,s
0.0625,-0.2501,0.9222,s
0.0625,-0.2345,0.9378,s
0.0782,-0.2501,0.9222,s
0.0469,-0.2657,0.9222,s
0.0625,-0.2501,0.9378,s
0.0938,-0.2501,0.9691,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2501,0.9222,s
0.0782,-0.2345,0.9378,s
0.0469,-0.2657,0.9534,s
0.0625,-0.2657,0.9378,s
0.0469,-0.2501,0.9534,s
0.0469,-0.2345,0.9378,s
0.0625,-0.2657,0.9378,s
0.0782,-0.2501,0.9378,s
0.0625,-0.2345,0.9222,s
0.0782,-0.2501,0.9378,s
0.0625,-0.2501,0.9534,s
0.0469,-0.2501,0.9378,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0775,-0.2501,0.9228,s
0.0494,-0.2501,0.9222,s
0.0606,-0.2501,0.9497,s
0.0756,-0.2632,0.9403,s
0.0907,-0.2407,0.9628,s
0.07,-0.2345,0.9334,s
0.0738,-0.257,0.9334,s
0.0782,-0.2551,0.9378,s
0.0681,-0.2501,0.9378,s
0.0719,-0.2501,0.9378,s
0.0694,-0.2588,0.9466,s
0.0625,-0.2576,0.9453,s
0.055,-0.2351,0.9303,s
0.0469,-0.2326,0.929,s
0.0469,-0.2501,0.9378,s
0.0525,-0.2557,0.9322,s
0.0575,-0.2607,0.9272,s
0.0513,-0.2501,0.9378,s
0.0663,-0.2463,0.9378,s
0.075,-0.2407,0.9347,s
0.06,-0.2657,0.9247,s
0.0488,-0.2638,0.9397,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2501,0.9534,s
0.0625,-0.2501,0.9222,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9534,s
0.0782,-0.2501,0.9378,s
0.0469,-0.2345,0.9378,s
0.0625,-0.2501,0.9534,s
0.0782,-0.2501,0.9222,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2345,0.9222,s
0.0625,-0.2345,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2345,0.9534,s
0.0782,-0.2501,0.9378,s
0.0469,-0.2345,0.9378,s
0.0782,-0.2345,0.9378,s
0.0938,-0.2501,0.9222,s
0.0625,-0.2501,0.9378,s
0.0782,-0.2501,0.9378,s
